Hydrophone 1,Hydrophone 2,Hydrophone 3,Hydrophone 4,Hydrophone 5
-49,-41,-42,-41,-43
-55,-42,-42,-42,-43
-77,-42,-43,-42,-43
-35,-41,-42,-42,-43
-14,-43,-43,-43,-43
-45,-42,-43,-42,-43
-28,-42,-42,-42,-43
-43,-41,-42,-41,-43
-49,-42,-42,-41,-42
-61,-42,-42,-42,-43
-44,-42,-42,-41,-43
-30,-42,-42,-42,-42
-43,-42,-43,-42,-43
-35,-42,-42,-41,-43
-34,-42,-42,-42,-43
-52,-42,-42,-41,-43
-39,-42,-42,-41,-43
-67,-42,-42,-41,-43
-49,-42,-42,-41,-43
-40,-42,-42,-42,-43
-12,-42,-42,-41,-43
-35,-42,-42,-42,-43
-44,-42,-43,-42,-43
-43,-42,-42,-42,-43
-50,-42,-43,-42,-43
-47,-42,-42,-41,-43
-40,-43,-43,-42,-43
-31,-42,-42,-41,-43
-24,-42,-42,-42,-43
-50,-42,-42,-41,-43
-30,-41,-42,-42,-43
-71,-42,-42,-41,-44
-47,-42,-42,-42,-43
-53,-42,-42,-42,-43
-45,-43,-43,-42,-43
-28,-42,-43,-42,-43
-46,-42,-42,-41,-43
-6,-42,-43,-42,-43
-30,-42,-42,-42,-43
-55,-41,-42,-41,-43
-54,-42,-42,-41,-43
-58,-42,-43,-42,-42
-11,-42,-43,-42,-43
-39,-42,-43,-40,-43
-22,-42,-42,-41,-42
-27,-42,-42,-42,-43
-44,-42,-42,-41,-43
-52,-43,-43,-42,-43
-93,-42,-43,-42,-43
-31,-42,-42,-42,-43
-42,-42,-42,-41,-43
-51,-42,-42,-41,-43
-25,-42,-42,-41,-43
-33,-41,-42,-40,-43
-36,-42,-42,-41,-43
-74,-42,-42,-42,-43
-45,-41,-43,-41,-43
-41,-42,-42,-42,-43
-50,-42,-43,-42,-43
-34,-42,-42,-42,-44
-35,-42,-42,-41,-43
-27,-42,-42,-41,-42
-38,-42,-42,-41,-43
-66,-41,-41,-41,-43
-50,-42,-43,-41,-43
-49,-42,-42,-42,-43
-12,-42,-42,-42,-42
-35,-42,-42,-42,-43
-37,-42,-42,-41,-43
-39,-42,-41,-41,-43
-48,-42,-42,-42,-43
-46,-41,-42,-42,-43
-61,-42,-42,-41,-43
-35,-41,-42,-41,-43
-30,-42,-43,-42,-43
-49,-42,-43,-42,-43
-26,-41,-42,-41,-43
-65,-42,-42,-41,-43
-43,-42,-43,-42,-44
-61,-41,-42,-41,-43
-43,-42,-43,-42,-43
-34,-42,-42,-42,-44
-45,-41,-43,-41,-44
14,-41,-42,-41,-43
-20,-43,-42,-42,-43
-51,-42,-42,-41,-42
-49,-42,-42,-41,-43
-53,-42,-43,-42,-43
-24,-43,-42,-42,-43
-42,-42,-42,-42,-43
-16,-43,-42,-42,-43
-25,-42,-43,-42,-44
-41,-41,-42,-41,-44
-51,-42,-42,-41,-43
-95,-42,-42,-41,-42
-33,-42,-42,-41,-43
-49,-42,-42,-41,-43
-45,-42,-42,-42,-43
-24,-42,-42,-42,-43
-19,-41,-42,-41,-44
-32,-42,-43,-42,-43
-69,-42,-43,-42,-44
-41,-42,-42,-41,-44
-47,-42,-42,-41,-43
-55,-42,-42,-41,-43
-31,-42,-42,-41,-43
-30,-42,-42,-41,-43
-3,-42,-43,-42,-43
-37,-42,-43,-41,-43
-51,-42,-42,-41,-43
-44,-43,-43,-42,-42
-47,-42,-43,-41,-43
-32,-42,-42,-42,-43
-42,-43,-43,-42,-43
-22,-42,-43,-42,-44
-39,-41,-42,-41,-43
-44,-42,-42,-41,-43
-38,-42,-42,-41,-42
-67,-42,-42,-42,-42
-33,-41,-42,-42,-43
-38,-43,-43,-42,-43
-50,-42,-42,-42,-44
-22,-42,-42,-41,-43
-45,-42,-42,-41,-43
-38,-42,-43,-42,-44
-62,-42,-42,-42,-43
-43,-42,-42,-41,-43
-44,-42,-43,-42,-43
-47,-42,-42,-42,-43
15,-42,-42,-41,-43
-23,-44,-42,-42,-43
-26,-42,-42,-41,-43
-49,-42,-42,-41,-43
-47,-42,-42,-42,-42
-57,-42,-43,-41,-43
-42,-42,-42,-41,-43
-27,-41,-42,-41,-43
-29,-42,-43,-42,-42
-29,-42,-42,-41,-43
-46,-42,-42,-41,-43
-73,-41,-42,-42,-43
-28,-42,-42,-42,-43
-56,-43,-43,-42,-43
-46,-42,-42,-42,-43
-28,-42,-42,-42,-43
-10,-42,-41,-41,-43
-26,-42,-43,-42,-43
-60,-41,-42,-42,-43
-35,-42,-42,-41,-43
-53,-42,-42,-41,-43
-54,-42,-42,-42,-42
-34,-42,-43,-42,-43
-29,-42,-42,-42,-43
0,-42,-43,-41,-42
-40,-42,-42,-42,-43
-46,-42,-42,-41,-43
-46,-42,-43,-42,-43
-47,-42,-43,-42,-44
-26,-42,-42,-42,-43
-37,-42,-41,-41,-43
-25,-42,-43,-42,-43
-42,-42,-42,-41,-43
-42,-41,-42,-41,-43
-41,-42,-43,-41,-43
-68,-43,-42,-42,-43
-32,-41,-41,-41,-43
-37,-43,-43,-42,-43
-45,-42,-42,-42,-44
-22,-42,-42,-42,-44
-49,-41,-42,-41,-43
-37,-42,-42,-42,-43
-57,-42,-42,-41,-43
-44,-42,-42,-41,-43
-42,-42,-43,-42,-42
-45,-42,-42,-41,-44
10,-42,-42,-42,-43
-22,-44,-42,-42,-43
-23,-43,-42,-42,-44
-45,-42,-42,-41,-43
-46,-43,-42,-41,-43
-55,-42,-43,-42,-42
-48,-42,-42,-41,-42
-25,-41,-42,-42,-43
-30,-42,-42,-41,-43
-27,-42,-43,-42,-43
-46,-41,-42,-41,-44
-74,-42,-42,-42,-42
-25,-42,-42,-42,-43
-59,-42,-43,-42,-43
-50,-42,-42,-42,-43
-29,-41,-43,-42,-43
1,-42,-42,-42,-43
-25,-41,-42,-41,-44
-58,-41,-42,-42,-42
-34,-41,-43,-41,-43
-50,-42,-42,-41,-43
-48,-42,-42,-42,-42
-42,-42,-42,-42,-43
-29,-42,-41,-41,-43
3,-43,-43,-42,-43
-44,-43,-41,-40,-43
-34,-43,-43,-42,-42
-40,-42,-42,-41,-44
-47,-42,-42,-42,-43
-52,-42,-42,-41,-43
-40,-42,-42,-41,-43
-25,-42,-42,-42,-42
-44,-42,-42,-41,-43
-33,-42,-42,-41,-43
-34,-42,-43,-42,-42
-50,-41,-42,-42,-43
-36,-42,-42,-42,-43
-64,-41,-42,-41,-43
-44,-41,-42,-42,-43
-33,-42,-42,-41,-43
-10,-42,-42,-41,-43
-28,-42,-42,-42,-42
-45,-42,-42,-41,-43
-40,-41,-42,-41,-43
-48,-42,-42,-42,-42
-45,-42,-42,-41,-43
-34,-42,-43,-42,-43
-30,-42,-42,-42,-43
-13,-42,-42,-41,-43
-49,-42,-43,-42,-44
-36,-41,-41,-41,-43
-71,-42,-42,-42,-43
-46,-42,-43,-41,-44
-47,-42,-42,-41,-43
-37,-42,-43,-41,-43
-23,-42,-43,-42,-43
-42,-42,-42,-41,-43
-17,-42,-42,-42,-44
-26,-42,-43,-42,-43
-62,-41,-42,-41,-43
-50,-42,-42,-41,-43
-51,-42,-42,-42,-43
8,-42,-42,-41,-44
-25,-43,-42,-41,-43
-39,-43,-43,-42,-42
-29,-42,-42,-41,-43
-50,-41,-42,-41,-43
-51,-42,-42,-42,-42
-63,-42,-42,-42,-43
-34,-41,-42,-42,-43
-10,-42,-42,-42,-43
-42,-42,-42,-42,-42
-29,-41,-42,-41,-44
-37,-42,-42,-41,-43
-46,-42,-42,-41,-43
-59,-42,-42,-42,-43
-43,-42,-42,-42,-44
-21,-42,-42,-41,-43
-41,-42,-42,-42,-43
-34,-42,-42,-42,-43
-33,-42,-43,-42,-43
-63,-42,-42,-42,-42
-31,-42,-42,-42,-43
-47,-41,-42,-41,-43
-49,-42,-42,-42,-42
-31,-42,-42,-41,-43
-34,-41,-42,-41,-43
-33,-42,-43,-41,-43
-59,-42,-42,-42,-43
-46,-42,-42,-41,-44
-45,-42,-42,-42,-43
-47,-42,-43,-42,-44
19,-42,-42,-42,-44
-24,-43,-41,-41,-43
-22,-43,-43,-42,-43
-45,-42,-43,-41,-43
-42,-41,-42,-41,-43
-57,-43,-42,-42,-43
-48,-42,-42,-41,-43
-24,-42,-42,-41,-44
-29,-42,-43,-42,-43
-29,-42,-42,-42,-43
-43,-41,-42,-41,-44
-61,-41,-41,-40,-43
-26,-42,-43,-42,-43
-65,-42,-42,-41,-43
-49,-42,-42,-41,-43
-35,-42,-42,-42,-43
4,-42,-42,-41,-43
-24,-43,-42,-41,-43
-48,-42,-42,-42,-42
-32,-43,-42,-42,-44
-52,-41,-42,-41,-43
-50,-42,-42,-41,-43
-40,-42,-43,-42,-42
-28,-42,-43,-41,-43
3,-42,-42,-41,-43
-38,-44,-43,-42,-43
-36,-43,-42,-42,-43
-42,-42,-42,-41,-43
-49,-42,-42,-42,-43
-47,-42,-43,-42,-44
-39,-42,-41,-41,-43
-24,-43,-42,-43,-43
-36,-42,-43,-42,-42
-38,-42,-42,-41,-43
-35,-41,-42,-41,-43
-67,-42,-42,-41,-42
-34,-42,-42,-41,-43
-48,-41,-42,-42,-43
-48,-42,-42,-41,-43
-25,-43,-42,-42,-43
-40,-41,-42,-41,-44
-33,-42,-43,-42,-43
-58,-42,-43,-42,-43
-42,-42,-42,-41,-43
-40,-41,-42,-41,-43
-48,-42,-42,-42,-42
20,-42,-42,-41,-43
-23,-43,-42,-41,-43
-38,-43,-42,-42,-43
-47,-42,-43,-41,-43
-50,-41,-42,-41,-43
-43,-43,-43,-42,-43
-41,-42,-43,-42,-43
-18,-42,-42,-42,-43
-30,-41,-42,-41,-43
-32,-42,-42,-42,-43
-49,-42,-42,-41,-44
-85,-41,-42,-41,-43
-31,-42,-42,-41,-43
-49,-42,-43,-42,-44
-45,-42,-42,-41,-43
-24,-42,-42,-42,-42
-16,-42,-42,-42,-43
-30,-42,-42,-41,-44
-62,-42,-42,-41,-43
-39,-42,-42,-41,-43
